brand,style,colour,description,image_url,name,price,stock,size
adidas,mens-athletic-shoes,Black/Black,Soft textile lining with lightweight construction for maximum comfort,https://www.famousfootwear.ca//productimages/shoes_ib709394.jpg?preset=results,Men's Cloudfoam Adapt 2 Slip On Sneaker,94.99,13,13
Under Armour,mens-athletic-shoes,Black/White/Silver,Water-resistant with a vibrant canvas print along the full length of the tops,https://www.famousfootwear.ca//productimages/shoes_ib709527.jpg?preset=results,Men's Charged Escape Wide 3 Running Shoe,104.99,5,10
Converse,mens-athletic-shoes,Black/Grey,Modern,https://www.famousfootwear.ca//productimages/shoes_ib709650.jpg?preset=results,Chuck Taylor All Star High Street High Top Sneaker,74.99,6,6
Skechers Work,mens-athletic-shoes,Black,Soft textile lining with lightweight construction for maximum comfort,https://www.famousfootwear.ca//productimages/shoes_ib710340.jpg?preset=results,Men's Groton Wide Slip-Resistant Work Sneaker,64.99,11,8
Skechers Work,mens-athletic-shoes,Black,High-quality and light-weight,https://www.famousfootwear.ca//productimages/shoes_ib710341.jpg?preset=results,Men's Nampa Groton Wide Slip On Slip Resistant Work Shoe,69.99,11,12
Nike,mens-athletic-shoes,Grey/Black,High-quality and light-weight,https://www.famousfootwear.ca//productimages/shoes_ib705970.jpg?preset=results,Air Ring Leader Low Basketball Shoe,87.99,7,8
Vans,mens-athletic-shoes,White,High quality EVA sole for traction and exceptional durability,https://www.famousfootwear.ca//productimages/shoes_ib705597.jpg?preset=results,Men's Ward Low Top Sneaker,69.99,15,6
Nike,mens-athletic-shoes,Black/White,Full canvas double sided print with rounded toe construction,https://www.famousfootwear.ca//productimages/shoes_ib708484.jpg?preset=results,Men's Air Max Motion 2 Sneaker,94.99,1,7
New Balance,mens-athletic-shoes,Grey/Orange,Full canvas double sided print with rounded toe construction,https://www.famousfootwear.ca//productimages/shoes_ib707671.jpg?preset=results,Men's 481 Wide Trail Running Shoe,74.99,12,6
Converse,mens-athletic-shoes,Black/White,Elastic stretch V for easy on-and-off use,https://www.famousfootwear.ca//productimages/shoes_ib705775.jpg?preset=results,Men's Chuck Taylor All Star High Street Leather Sneaker,79.99,9,9
Nike,mens-athletic-shoes,Black,Elastic stretch V for easy on-and-off use,https://www.famousfootwear.ca//productimages/shoes_ib708155.jpg?preset=results,Men's Air Max Motion 2 Sneaker,104.99,6,12
Nike,mens-athletic-shoes,Black/Gold,High quality EVA sole for traction and exceptional durability,https://www.famousfootwear.ca//productimages/shoes_ib706661.jpg?preset=results,Precision 2 Basketball Shoe,94.99,5,7
Nike,mens-athletic-shoes,Black/Black/Red,Modern,https://www.famousfootwear.ca//productimages/shoes_ib705041.jpg?preset=results,Men's Nike SB Check Solar Canvas Skate Shoe,84.99,10,10
adidas,mens-athletic-shoes,Black/White,Crafted from a premium fabric blend for enhanced moisture-wicking performance,https://www.famousfootwear.ca//productimages/shoes_ib707573.jpg?preset=results,Men's Grand Court Sneaker,79.99,5,9
adidas,mens-athletic-shoes,Black/White,Water-resistant with a vibrant canvas print along the full length of the tops,https://www.famousfootwear.ca//productimages/shoes_ib707485.jpg?preset=results,Men's VS Hoops 2.0 High Top Sneaker,89.99,8,12
Vans,mens-athletic-shoes,Checkerboard/Black/White,Elastic stretch V for easy on-and-off use,https://www.famousfootwear.ca//productimages/shoes_ib706992.jpg?preset=results,Men's Ward Low Top Sneaker,69.99,5,11
adidas,mens-athletic-shoes,White/Black,Full canvas double sided print with rounded toe construction,https://www.famousfootwear.ca//productimages/shoes_ib708305.jpg?preset=results,Men's VS Hoops 2.0 High Top Sneaker,89.99,2,6
Vans,mens-athletic-shoes,Black,High quality canvas construction,https://www.famousfootwear.ca//productimages/shoes_ib701240.jpg?preset=results,Men's Asher Slip On Low Top Sneaker,64.99,12,7
Converse,mens-athletic-shoes,White/Grey,Water-resistant with a vibrant canvas print along the full length of the tops,https://www.famousfootwear.ca//productimages/shoes_ib709651.jpg?preset=results,Chuck Taylor All Star High Street High Top Sneaker,64.99,15,12
Converse,mens-athletic-shoes,White/Black,Elastic stretch V for easy on-and-off use,https://www.famousfootwear.ca//productimages/shoes_ib705776.jpg?preset=results,Men's Chuck Taylor All Star High Street Leather Sneaker,79.99,12,13
Nike,mens-athletic-shoes,Black/White,Elastic stretch V for easy on-and-off use,https://www.famousfootwear.ca//productimages/shoes_ib708537.jpg?preset=results,Men's LD Victory Sneaker,79.99,9,9
Vans,mens-athletic-shoes,Black,Water-resistant with a vibrant canvas print along the full length of the tops,https://www.famousfootwear.ca//productimages/shoes_ib705596.jpg?preset=results,Men's Ward High Top Sneaker,79.99,14,10
Nike,mens-athletic-shoes,Grey/Black,Full canvas double sided print with rounded toe construction,https://www.famousfootwear.ca//productimages/shoes_ib708162.jpg?preset=results,Men's Run Swift Running Shoe,94.99,14,11
Nike,mens-athletic-shoes,Black/Grey,Crafted from a premium fabric blend for enhanced moisture-wicking performance,https://www.famousfootwear.ca//productimages/shoes_ib708726.jpg?preset=results,Men's Nike Quest 2 Running Shoe,84.99,6,6
Nike,mens-athletic-shoes,Black/Red,High-quality and light-weight,https://www.famousfootwear.ca//productimages/shoes_ib707340.jpg?preset=results,Men's Air Monarch IV X-Wide Walking Shoe,84.99,15,12
ASICS,mens-athletic-shoes,Blue/Orange,High-quality and light-weight,https://www.famousfootwear.ca//productimages/shoes_ib708870.jpg?preset=results,Men's GEL Venture 7 Medium/Wide Trail Running Shoe,84.99,8,12
New Balance,mens-athletic-shoes,Black/Grey,High quality canvas construction,https://www.famousfootwear.ca//productimages/shoes_ib708359.jpg?preset=results,Men's 410 V6 Wide Trail Running Shoe,79.99,2,13
Nike,mens-athletic-shoes,Black/Black,High quality EVA sole for traction and exceptional durability,https://www.famousfootwear.ca//productimages/shoes_ib703810.jpg?preset=results,Men's Tanjun Sneaker,87.99,7,8
K-Swiss,mens-athletic-shoes,Black/White,High-quality and light-weight,https://www.famousfootwear.ca//productimages/shoes_ib709473.jpg?preset=results,Men's ST329 CMF Memory Foam X-Wide Training Shoe,94.99,2,8
Converse,mens-athletic-shoes,Black/White,High-quality and light-weight,https://www.famousfootwear.ca//productimages/shoes_ib705631.jpg?preset=results,Chuck Taylor All Star Low Top Sneaker,59.99,3,8
Converse,mens-athletic-shoes,Black/Black,Elastic stretch V for easy on-and-off use,https://www.famousfootwear.ca//productimages/shoes_ib705638.jpg?preset=results,Chuck Taylor All Star Hi Top Sneaker,69.99,8,10
Puma,mens-athletic-shoes,Black,High quality EVA sole for traction and exceptional durability,https://www.famousfootwear.ca//productimages/shoes_ib58518.jpg?preset=results,Men's Tazon 6 Fracture Running Shoe,99.99,10,7
Puma,mens-athletic-shoes,Black/Red,Crafted from a premium fabric blend for enhanced moisture-wicking performance,https://www.famousfootwear.ca//productimages/shoes_ib95839.jpg?preset=results,Men's Phase Running Shoe,89.99,10,10
Puma,mens-athletic-shoes,Black/Gold,High quality EVA sole for traction and exceptional durability,https://www.famousfootwear.ca//productimages/shoes_ib95845.jpg?preset=results,Men's Axelion Running Shoe,99.99,9,13
Puma,mens-athletic-shoes,Black/Gold,Full canvas double sided print with rounded toe construction,https://www.famousfootwear.ca//productimages/shoes_ib95433.jpg?preset=results,Men's Regulate Running Shoe,109.99,6,11
Puma,mens-athletic-shoes,Black/White,Modern,https://www.famousfootwear.ca//productimages/shoes_ib709640.jpg?preset=results,Men's Axelion Running Shoe,99.99,9,13
Puma,mens-athletic-shoes,Black/Black,Crafted from a premium fabric blend for enhanced moisture-wicking performance,https://www.famousfootwear.ca//productimages/shoes_ib72730.jpg?preset=results,Men's Pacer Next Cage Sneaker,99.99,10,11
Nike,mens-athletic-shoes,Black/Black,Soft textile lining with lightweight construction for maximum comfort,https://www.famousfootwear.ca//productimages/shoes_ib708482.jpg?preset=results,Men's Oketo Sneaker,84.99,15,13
Vans,mens-athletic-shoes,Checkerboard/Black/Red,Crafted from a premium fabric blend for enhanced moisture-wicking performance,https://www.famousfootwear.ca//productimages/shoes_ib707574.jpg?preset=results,Men's Ward Low Top Sneaker,64.99,8,9
Nike,mens-athletic-shoes,Grey/Black,Elastic stretch V for easy on-and-off use,https://www.famousfootwear.ca//productimages/shoes_ib708491.jpg?preset=results,Precision 2 Basketball Shoe,89.99,1,12
Vans,mens-athletic-shoes,Black/White,High quality canvas construction,https://www.famousfootwear.ca//productimages/shoes_ib708497.jpg?preset=results,Men's Asher Slip On Low Top Sneaker,64.99,15,10
Vans,mens-athletic-shoes,Black,High-quality and light-weight,https://www.famousfootwear.ca//productimages/shoes_ib700415.jpg?preset=results,Men's Atwood Low Top Sneaker,69.99,3,12
Vans,mens-athletic-shoes,Black,High-quality and light-weight,https://www.famousfootwear.ca//productimages/shoes_ib705376.jpg?preset=results,Men's Ward Low Top Sneaker,69.99,10,13
Converse,mens-athletic-shoes,Dark Grey/Lt Grey,Soft textile lining with lightweight construction for maximum comfort,https://www.famousfootwear.ca//productimages/shoes_ib706262.jpg?preset=results,Chuck Taylor All Star High Street High Top Sneaker,69.99,10,11
adidas,mens-athletic-shoes,White/Black,Water-resistant with a vibrant canvas print along the full length of the tops,https://www.famousfootwear.ca//productimages/shoes_ib709070.jpg?preset=results,Men's Questar Flow Sneaker,94.99,3,12
adidas,mens-athletic-shoes,Black/White,High quality EVA sole for traction and exceptional durability,https://www.famousfootwear.ca//productimages/shoes_ib708539.jpg?preset=results,Men's Hoops Low Sneaker,79.99,8,10
Nike,mens-athletic-shoes,Black,High-quality and light-weight,https://www.famousfootwear.ca//productimages/shoes_ib700163.jpg?preset=results,Men's Air Monarch IV X-Wide Walking Shoe,84.99,8,11
Nike,mens-athletic-shoes,Navy/White,Soft textile lining with lightweight construction for maximum comfort,https://www.famousfootwear.ca//productimages/shoes_ib709472.jpg?preset=results,Men's Nike SB Charge Skate Shoe,84.99,13,10
adidas,mens-athletic-shoes,Black/White,Modern,https://www.famousfootwear.ca//productimages/shoes_ib707486.jpg?preset=results,Men's Cloudfoam Adapt Slip On Sneaker,94.99,10,7
adidas,mens-athletic-shoes,White/Black,Modern,https://www.famousfootwear.ca//productimages/shoes_ib707572.jpg?preset=results,Men's Grand Court Sneaker,79.99,9,7
Vans,mens-athletic-shoes,Black/White,Full canvas double sided print with rounded toe construction,https://www.famousfootwear.ca//productimages/shoes_ib704275.jpg?preset=results,Men's Ward High Top Sneaker,69.99,13,9
adidas,mens-athletic-shoes,White/Black,Soft textile lining with lightweight construction for maximum comfort,https://www.famousfootwear.ca//productimages/shoes_ib709832.jpg?preset=results,Men's Cloudfoam Adapt Slip On Sneaker,94.99,2,10
Nike,mens-athletic-shoes,Grey/Red,High quality EVA sole for traction and exceptional durability,https://www.famousfootwear.ca//productimages/shoes_ib708154.jpg?preset=results,Men's Air Max Motion 2 Sneaker,89.99,11,8
Vans,mens-athletic-shoes,Black/White,Elastic stretch V for easy on-and-off use,https://www.famousfootwear.ca//productimages/shoes_ib708412.jpg?preset=results,Men's Doheny Low Top Sneaker,64.99,3,11
Nike,mens-athletic-shoes,Black,High-quality and light-weight,https://www.famousfootwear.ca//productimages/shoes_ib708646.jpg?preset=results,Men's Nike SB Charge Skate Shoe,87.99,10,8
Nike,mens-athletic-shoes,Black/White,High quality canvas construction,https://www.famousfootwear.ca//productimages/shoes_ib708265.jpg?preset=results,Men's Acalme Sneaker,84.99,8,12
Vans,mens-athletic-shoes,Black/White,Elastic stretch V for easy on-and-off use,https://www.famousfootwear.ca//productimages/shoes_ib708747.jpg?preset=results,Men's Doheny Low Top Sneaker,69.99,15,13
Vans,mens-athletic-shoes,White,Crafted from a premium fabric blend for enhanced moisture-wicking performance,https://www.famousfootwear.ca//productimages/shoes_ib709492.jpg?preset=results,Men's Doheny Low Top Sneaker,69.99,2,12
Nike,mens-athletic-shoes,Black,High-quality and light-weight,https://www.famousfootwear.ca//productimages/shoes_ib706896.jpg?preset=results,Men's Ebernon Low Top Sneaker,79.99,9,8
adidas,mens-athletic-shoes,White/White,Soft textile lining with lightweight construction for maximum comfort,https://www.famousfootwear.ca//productimages/shoes_ib709035.jpg?preset=results,Men's Hoops Low Sneaker,79.99,11,9
Vans,mens-athletic-shoes,Grey/Black,Full canvas double sided print with rounded toe construction,https://www.famousfootwear.ca//productimages/shoes_ib709772.jpg?preset=results,Men's Ward Low Top Sneaker,84.99,3,13
Nike,mens-athletic-shoes,Grey/Black/White,Water-resistant with a vibrant canvas print along the full length of the tops,https://www.famousfootwear.ca//productimages/shoes_ib705971.jpg?preset=results,Air Mavin Low Basketball Shoe,87.99,14,13
adidas,mens-athletic-shoes,Black/Red,High quality canvas construction,https://www.famousfootwear.ca//productimages/shoes_ib708306.jpg?preset=results,Men's VS Hoops 2.0 High Top Sneaker,94.99,5,8
Vans,mens-athletic-shoes,Black/Black,Elastic stretch V for easy on-and-off use,https://www.famousfootwear.ca//productimages/shoes_ib708363.jpg?preset=results,Men's Doheny Low Top Sneaker,64.99,11,10
Puma,mens-athletic-shoes,Black,Water-resistant with a vibrant canvas print along the full length of the tops,https://www.famousfootwear.ca//productimages/shoes_ib707819.jpg?preset=results,Men's Tazon 6 Fracture Running Shoe,99.99,11,7
adidas,mens-athletic-shoes,Noir/Rouge/Blanc,Water-resistant with a vibrant canvas print along the full length of the tops,https://www.famousfootwear.ca//productimages/shoes_ib708308.jpg?preset=results,Men's Cloudfoam Lite Racer BYD Sneaker,79.99,4,13
adidas,mens-athletic-shoes,Noir/Noir,Soft textile lining with lightweight construction for maximum comfort,https://www.famousfootwear.ca//productimages/shoes_ib708307.jpg?preset=results,Men's Cloudfoam Lite Racer BYD Sneaker,94.99,6,9
Vans,mens-athletic-shoes,Black/White,High quality EVA sole for traction and exceptional durability,https://www.famousfootwear.ca//productimages/shoes_ib704273.jpg?preset=results,Men's Ward Low Top Sneaker,74.99,9,9
Nike,mens-athletic-shoes,Grey/White,Modern,https://www.famousfootwear.ca//productimages/shoes_ib708717.jpg?preset=results,Men's Nike SB Charge Skate Shoe,84.99,12,8
Nike,mens-athletic-shoes,White/Black,High quality EVA sole for traction and exceptional durability,https://www.famousfootwear.ca//productimages/shoes_ib708419.jpg?preset=results,Men's Cortez Basic Leather Sneaker,89.99,15,8
Vans,mens-athletic-shoes,Checkerboard/Black/White,Full canvas double sided print with rounded toe construction,https://www.famousfootwear.ca//productimages/shoes_ib706567.jpg?preset=results,Men's Asher Slip On Low Top Sneaker,59.99,12,13
adidas,mens-athletic-shoes,Black/Grey,High quality EVA sole for traction and exceptional durability,https://www.famousfootwear.ca//productimages/shoes_ib707667.jpg?preset=results,Men's Questar Flow Sneaker,94.99,1,7
Nike,mens-athletic-shoes,White/Black,Soft textile lining with lightweight construction for maximum comfort,https://www.famousfootwear.ca//productimages/shoes_ib709398.jpg?preset=results,Men's Air Max Excee Sneaker,114.99,3,12
Converse,mens-athletic-shoes,Black/Green,High quality EVA sole for traction and exceptional durability,https://www.famousfootwear.ca//productimages/shoes_ib709647.jpg?preset=results,Chuck Taylor All Star High Street High Top Sneaker,74.99,2,6
adidas,mens-athletic-shoes,Denim/White,Full canvas double sided print with rounded toe construction,https://www.famousfootwear.ca//productimages/shoes_ib706764.jpg?preset=results,Men's Daily 2.0 Sneaker,79.99,10,7
Nike,mens-athletic-shoes,Grey,High quality EVA sole for traction and exceptional durability,https://www.famousfootwear.ca//productimages/shoes_ib709453.jpg?preset=results,Men's Nike SB Check Solar Canvas Skate Shoe,89.99,4,8
Nike,mens-athletic-shoes,Anthracite/Silver,High-quality and light-weight,https://www.famousfootwear.ca//productimages/shoes_ib701671.jpg?preset=results,Men's Air Max Torch 4 Running Shoe,104.99,13,7
Nike,mens-athletic-shoes,Black/White,Water-resistant with a vibrant canvas print along the full length of the tops,https://www.famousfootwear.ca//productimages/shoes_ib708418.jpg?preset=results,Men's Cortez Basic Leather Sneaker,89.99,15,7
Nike,mens-athletic-shoes,Black/Grey,Crafted from a premium fabric blend for enhanced moisture-wicking performance,https://www.famousfootwear.ca//productimages/shoes_ib708281.jpg?preset=results,Precision III Basketball Shoe,94.99,11,9
Nike,mens-athletic-shoes,Black/White,High quality EVA sole for traction and exceptional durability,https://www.famousfootwear.ca//productimages/shoes_ib708645.jpg?preset=results,Men's Nike SB Charge Skate Shoe,84.99,1,6
Nike,mens-athletic-shoes,Black/Red,High quality EVA sole for traction and exceptional durability,https://www.famousfootwear.ca//productimages/shoes_ib708737.jpg?preset=results,Men's Run Swift Running Shoe,89.99,10,11
Under Armour,mens-athletic-shoes,Black/Grey,High-quality and light-weight,https://www.famousfootwear.ca//productimages/shoes_ib708547.jpg?preset=results,Men's Charged Rogue Running Shoe,84.99,4,13
Nike,mens-athletic-shoes,White,Soft textile lining with lightweight construction for maximum comfort,https://www.famousfootwear.ca//productimages/shoes_ib707338.jpg?preset=results,Men's Air Monarch IV X-Wide Walking Shoe,84.99,9,7
ASICS,mens-athletic-shoes,Black/White,Water-resistant with a vibrant canvas print along the full length of the tops,https://www.famousfootwear.ca//productimages/shoes_ib708647.jpg?preset=results,Men's GEL-Contend 5 X-Wide Running Shoe,84.99,14,11
Vans,mens-athletic-shoes,Red/White,Modern,https://www.famousfootwear.ca//productimages/shoes_ib708748.jpg?preset=results,Men's Doheny Low Top Sneaker,54.99,4,9
Nike,mens-athletic-shoes,Black/Orange/Grey,Full canvas double sided print with rounded toe construction,https://www.famousfootwear.ca//productimages/shoes_ib709455.jpg?preset=results,Men's Renew Run Running Shoe,89.99,3,7
Nike,mens-athletic-shoes,Black,Full canvas double sided print with rounded toe construction,https://www.famousfootwear.ca//productimages/shoes_ib709223.jpg?preset=results,Men's Revolution 5 Wide Running Shoe,79.99,7,13
Under Armour,mens-athletic-shoes,Black/White,Crafted from a premium fabric blend for enhanced moisture-wicking performance,https://www.famousfootwear.ca//productimages/shoes_ib708570.jpg?preset=results,Men's Charged Escape 3 Running Shoe,94.99,7,8
Nike,mens-athletic-shoes,Black/Gum,Soft textile lining with lightweight construction for maximum comfort,https://www.famousfootwear.ca//productimages/shoes_ib708544.jpg?preset=results,Men's Nike SB Charge Skate Shoe,84.99,3,7
Nike,mens-athletic-shoes,Red,Soft textile lining with lightweight construction for maximum comfort,https://www.famousfootwear.ca//productimages/shoes_ib708725.jpg?preset=results,Men's Quest Running Shoe,84.99,1,11
Nike,mens-athletic-shoes,Black/Red/White,High quality EVA sole for traction and exceptional durability,https://www.famousfootwear.ca//productimages/shoes_ib709224.jpg?preset=results,Men's Revolution 5 Running Shoe,84.99,3,13
Under Armour,mens-athletic-shoes,Black/Gold,High-quality and light-weight,https://www.famousfootwear.ca//productimages/shoes_ib708571.jpg?preset=results,Men's Charged Escape 3 Running Shoe,94.99,1,6
Nike,mens-athletic-shoes,Black/White,Water-resistant with a vibrant canvas print along the full length of the tops,https://www.famousfootwear.ca//productimages/shoes_ib708488.jpg?preset=results,Men's Nike SB Charge Skate Shoe,87.99,14,9
Puma,mens-athletic-shoes,Black/Gold,Water-resistant with a vibrant canvas print along the full length of the tops,https://www.famousfootwear.ca//productimages/shoes_ib709642.jpg?preset=results,Men's Axelion Running Shoe,99.99,9,11
Vans,mens-athletic-shoes,Checkerboard/Grey,Full canvas double sided print with rounded toe construction,https://www.famousfootwear.ca//productimages/shoes_ib708498.jpg?preset=results,Men's Doheny Low Top Sneaker,59.99,14,6
Under Armour,mens-athletic-shoes,Grey,High quality canvas construction,https://www.famousfootwear.ca//productimages/shoes_ib708574.jpg?preset=results,Men's Charged Rogue Running Shoe,74.99,6,12
Dr. Martens,mens-boots,Tan,Elastic stretch V for easy on-and-off use,https://www.famousfootwear.ca//productimages/shoes_ib709000.jpg?preset=results,Men's Hardie Slip Resistant Leather Chelsea Boot,129.99,8,11
Timberland,mens-boots,Black,Elastic stretch V for easy on-and-off use,https://www.famousfootwear.ca//productimages/shoes_ib705610.jpg?preset=results,Men's Flume Waterproof Medium/Wide Hiking Boot,129.99,12,11
Columbia,mens-boots,Black,Full canvas double sided print with rounded toe construction,https://www.famousfootwear.ca//productimages/shoes_ib708815.jpg?preset=results,Men's Liftop Omni-Heat Waterproof Winter Boot,134.99,1,13
Timberland,mens-boots,Black,High quality EVA sole for traction and exceptional durability,https://www.famousfootwear.ca//productimages/shoes_ib705613.jpg?preset=results,"Men's 6"" Padded Collar Medium/Wide Waterproof Boot",179.99,4,8
Dr. Martens,mens-boots,Black,Crafted from a premium fabric blend for enhanced moisture-wicking performance,https://www.famousfootwear.ca//productimages/shoes_ib708781.jpg?preset=results,Men's Awley Combat Boot,119.99,9,13
Dr. Martens,mens-boots,Brown,Crafted from a premium fabric blend for enhanced moisture-wicking performance,https://www.famousfootwear.ca//productimages/shoes_ib708782.jpg?preset=results,Men's Awley Combat Boot,119.99,7,13
Timberland,mens-boots,Brown,High quality EVA sole for traction and exceptional durability,https://www.famousfootwear.ca//productimages/shoes_ib706877.jpg?preset=results,Men's Flume Waterproof Medium/Wide Hiking Boot,119.99,11,13
Perry Ellis,mens-boots,Black,Full canvas double sided print with rounded toe construction,https://www.famousfootwear.ca//productimages/shoes_ib00949.jpg?preset=results,Men's Craig Chukka Boot,49.99,12,12
Columbia,mens-boots,Charcoal Grey,High quality canvas construction,https://www.famousfootwear.ca//productimages/shoes_ib703995.jpg?preset=results,Men's Newton Ridge Medium/Wide Waterproof Hiking Boot,119.99,10,7
Skechers,mens-boots,Crazy Horse/Brown,Full canvas double sided print with rounded toe construction,https://www.famousfootwear.ca//productimages/shoes_ib702158.jpg?preset=results,Men's Verdict Waterproof Medium/Wide Boot,99.99,9,12
Perry Ellis,mens-boots,Grey,Soft textile lining with lightweight construction for maximum comfort,https://www.famousfootwear.ca//productimages/shoes_ib35639.jpg?preset=results,Men's Craig Chukka Boot,49.99,10,9
Perry Ellis,mens-boots,Black,High quality EVA sole for traction and exceptional durability,https://www.famousfootwear.ca//productimages/shoes_ib36511.jpg?preset=results,Men's Manning Boot,69.99,11,8
Columbia,mens-boots,Black,Soft textile lining with lightweight construction for maximum comfort,https://www.famousfootwear.ca//productimages/shoes_ib705473.jpg?preset=results,Men's Newton Ridge Medium/Wide Waterproof Hiking Boot,119.99,14,8
Columbia,mens-boots,Black,High quality canvas construction,https://www.famousfootwear.ca//productimages/shoes_ib708814.jpg?preset=results,Men's Liftop Omni-Heat Waterproof Winter Boot,134.99,10,13
Levi's,mens-boots,Black Tan,High quality EVA sole for traction and exceptional durability,https://www.famousfootwear.ca//productimages/shoes_ib96207.jpg?preset=results,Men's Jeffrey High Top Sneaker,89.99,6,9
Skechers,mens-boots,Black,High quality EVA sole for traction and exceptional durability,https://www.famousfootwear.ca//productimages/shoes_ib707267.jpg?preset=results,Men's Morson Medium/Wide Waterproof Memory Foam Boot,89.99,7,13
Levi's,mens-boots,Brown Tan,High-quality and light-weight,https://www.famousfootwear.ca//productimages/shoes_ib96395.jpg?preset=results,Men's Stanton High Top Sneaker Boot,74.99,4,12
Columbia,mens-boots,Black,High-quality and light-weight,https://www.famousfootwear.ca//productimages/shoes_ib707135.jpg?preset=results,Men's Bugaboot Wide Waterproof Winter Boot,149.99,2,13
LUGZ,mens-boots,Wheat,High quality canvas construction,https://www.famousfootwear.ca//productimages/shoes_ib706879.jpg?preset=results,Men's Empire High Top Water Resistant Lace Up Boot,109.99,15,7
Dockers,mens-boots,Black,High quality EVA sole for traction and exceptional durability,https://www.famousfootwear.ca//productimages/shoes_ib707481.jpg?preset=results,Men's Therman Boot,109.99,1,9
LUGZ,mens-boots,Black,Elastic stretch V for easy on-and-off use,https://www.famousfootwear.ca//productimages/shoes_ib706878.jpg?preset=results,Men's Empire High Top Water Resistant Lace Up Boot,109.99,5,8
Skechers,mens-boots,Brown,High-quality and light-weight,https://www.famousfootwear.ca//productimages/shoes_ib708890.jpg?preset=results,Men's Blaine Orsend Boot,119.99,15,11
Timberland,mens-boots,Wheat,Modern,https://www.famousfootwear.ca//productimages/shoes_ib705612.jpg?preset=results,"Men's 6"" Padded Collar Medium/Wide Waterproof Boot",179.99,15,10
